Region,Population,Year,Age
Waikato district,90100,2023,"Total people, age"
Matamata-Piako district,37700,2023,"Total people, age"
Hamilton city,185300,2023,"Total people, age"
Waipa district,61100,2023,"Total people, age"
Otorohanga district,10900,2023,"Total people, age"
South Waikato district,26000,2023,"Total people, age"
Waitomo district,9720,2023,"Total people, age"
Taupo district,42000,2023,"Total people, age"
Western Bay of Plenty district,60800,2023,"Total people, age"
Tauranga city,161800,2023,"Total people, age"
Rotorua district,78200,2023,"Total people, age"
Whakatane district,38800,2023,"Total people, age"
Kawerau district,7820,2023,"Total people, age"
Opotiki district,10550,2023,"Total people, age"
Gisborne district,52600,2023,"Total people, age"
Wairoa district,9290,2023,"Total people, age"
Hastings district,91900,2023,"Total people, age"
Napier city,67500,2023,"Total people, age"
Central Hawke's Bay district,16000,2023,"Total people, age"
New Plymouth district,88900,2023,"Total people, age"
Stratford district,10300,2023,"Total people, age"
South Taranaki district,29600,2023,"Total people, age"
Ruapehu district,13050,2023,"Total people, age"
Whanganui district,48900,2023,"Total people, age"
Rangitikei district,16300,2023,"Total people, age"
Manawatu district,33900,2023,"Total people, age"
Palmerston North city,91800,2023,"Total people, age"
Tararua district,19200,2023,"Total people, age"
Horowhenua district,37500,2023,"Total people, age"
Kapiti Coast district,58400,2023,"Total people, age"
Porirua city,62400,2023,"Total people, age"
Upper Hutt city,48300,2023,"Total people, age"
Lower Hutt city,114000,2023,"Total people, age"
Wellington city,216200,2023,"Total people, age"
Masterton district,29100,2023,"Total people, age"
Carterton district,10250,2023,"Total people, age"
South Wairarapa district,11900,2023,"Total people, age"
Tasman district,59400,2023,"Total people, age"
Nelson city,55600,2023,"Total people, age"
Marlborough district,52200,2023,"Total people, age"
Kaikoura district,4230,2023,"Total people, age"
Buller district,9670,2023,"Total people, age"
Grey district,14250,2023,"Total people, age"
Westland district,8940,2023,"Total people, age"
Hurunui district,13800,2023,"Total people, age"
Waimakariri district,69000,2023,"Total people, age"
Christchurch city,396200,2023,"Total people, age"
Selwyn district,81300,2023,"Total people, age"
Ashburton district,36800,2023,"Total people, age"
Timaru district,48900,2023,"Total people, age"
Mackenzie district,5690,2023,"Total people, age"
Waimate district,8400,2023,"Total people, age"
Chatham Islands territory,730,2023,"Total people, age"
Waitaki district,24300,2023,"Total people, age"
Central Otago district,26000,2023,"Total people, age"
Queenstown-Lakes district,52800,2023,"Total people, age"
Dunedin city,134600,2023,"Total people, age"
Clutha district,18900,2023,"Total people, age"
Southland district,33000,2023,"Total people, age"
Gore district,13050,2023,"Total people, age"
Invercargill city,57900,2023,"Total people, age"
Area outside territorial authority,40,2023,"Total people, age"
"Total, New Zealand by territorial authority/SA2",294700,1996,0-4 Years
Far North district,4910,1996,0-4 Years
Whangarei district,5720,1996,0-4 Years
Kaipara district,1500,1996,0-4 Years
Auckland,91160,1996,0-4 Years
Rodney local board area,2980,1996,0-4 Years
Hibiscus and Bays local board area,4460,1996,0-4 Years
Upper Harbour local board area,1990,1996,0-4 Years
Kaipatiki local board area,5570,1996,0-4 Years
Devonport-Takapuna local board area,3080,1996,0-4 Years
Henderson-Massey local board area,7780,1996,0-4 Years
Waitakere Ranges local board area,3800,1996,0-4 Years
Aotea/Great Barrier local board area,100,1996,0-4 Years
Waiheke local board area,460,1996,0-4 Years
Waitemata local board area,2340,1996,0-4 Years
Whau local board area,4960,1996,0-4 Years
Albert-Eden local board area,6010,1996,0-4 Years
Puketapapa local board area,3540,1996,0-4 Years
Orakei local board area,4310,1996,0-4 Years
Maungakiekie-Tamaki local board area,5870,1996,0-4 Years
Howick local board area,4990,1996,0-4 Years
Mangere-Otahuhu local board area,7030,1996,0-4 Years
Otara-Papatoetoe local board area,7410,1996,0-4 Years
Manurewa local board area,6660,1996,0-4 Years
Papakura local board area,3600,1996,0-4 Years
Franklin local board area,4220,1996,0-4 Years
Thames-Coromandel district,1700,1996,0-4 Years
Hauraki district,1650,1996,0-4 Years
Waikato district,4700,1996,0-4 Years
Matamata-Piako district,2640,1996,0-4 Years
Hamilton city,8930,1996,0-4 Years
Waipa district,3020,1996,0-4 Years
Otorohanga district,870,1996,0-4 Years
South Waikato district,2720,1996,0-4 Years
Waitomo district,940,1996,0-4 Years
Taupo district,2840,1996,0-4 Years
Western Bay of Plenty district,2740,1996,0-4 Years
Tauranga city,5770,1996,0-4 Years
Rotorua district,6190,1996,0-4 Years
Whakatane district,3280,1996,0-4 Years
Kawerau district,950,1996,0-4 Years
Opotiki district,1030,1996,0-4 Years
Gisborne district,4440,1996,0-4 Years
Wairoa district,1010,1996,0-4 Years
Hastings district,5810,1996,0-4 Years
Napier city,4210,1996,0-4 Years
Central Hawke's Bay district,1070,1996,0-4 Years
New Plymouth district,5250,1996,0-4 Years
Stratford district,800,1996,0-4 Years
South Taranaki district,2590,1996,0-4 Years
Ruapehu district,1800,1996,0-4 Years
Whanganui district,3610,1996,0-4 Years
Rangitikei district,1460,1996,0-4 Years
Manawatu district,2140,1996,0-4 Years
Palmerston North city,5670,1996,0-4 Years
Tararua district,1720,1996,0-4 Years
Horowhenua district,2460,1996,0-4 Years
Kapiti Coast district,2700,1996,0-4 Years
Porirua city,4700,1996,0-4 Years
Upper Hutt city,2990,1996,0-4 Years
Lower Hutt city,8310,1996,0-4 Years
Wellington city,11300,1996,0-4 Years
Masterton district,1860,1996,0-4 Years
Carterton district,500,1996,0-4 Years
South Wairarapa district,750,1996,0-4 Years
Tasman district,2890,1996,0-4 Years
Nelson city,2870,1996,0-4 Years
Marlborough district,2800,1996,0-4 Years
Kaikoura district,270,1996,0-4 Years
Buller district,870,1996,0-4 Years
Grey district,1150,1996,0-4 Years
Westland district,690,1996,0-4 Years
Hurunui district,760,1996,0-4 Years
Waimakariri district,2570,1996,0-4 Years
Christchurch city,21660,1996,0-4 Years
Selwyn district,1880,1996,0-4 Years
