Region,Population,Year,Age
Hamilton City,12930,2028,0-4 years
Waipa District,3650,2028,0-4 years
Otorohanga District,670,2028,0-4 years
South Waikato District,1870,2028,0-4 years
Waitomo District,620,2028,0-4 years
Taupo District,2490,2028,0-4 years
Western Bay of Plenty District,3350,2028,0-4 years
Tauranga City,10110,2028,0-4 years
Rotorua District,4800,2028,0-4 years
Whakatane District,2490,2028,0-4 years
Kawerau District,550,2028,0-4 years
Opotiki District,770,2028,0-4 years
Gisborne District,3450,2028,0-4 years
Wairoa District,670,2028,0-4 years
Hastings District,5670,2028,0-4 years
Napier City,3740,2028,0-4 years
Central Hawke's Bay District,960,2028,0-4 years
New Plymouth District,5030,2028,0-4 years
Stratford District,670,2028,0-4 years
South Taranaki District,1850,2028,0-4 years
Ruapehu District,810,2028,0-4 years
Whanganui District,2840,2028,0-4 years
Rangitikei District,1060,2028,0-4 years
Manawatu District,2070,2028,0-4 years
Palmerston North City,5470,2028,0-4 years
Tararua District,1130,2028,0-4 years
Horowhenua District,2220,2028,0-4 years
Kapiti Coast District,2660,2028,0-4 years
Porirua City,4180,2028,0-4 years
Upper Hutt City,2970,2028,0-4 years
Lower Hutt City,7060,2028,0-4 years
Wellington City,9450,2028,0-4 years
Masterton District,1830,2028,0-4 years
Carterton District,570,2028,0-4 years
South Wairarapa District,640,2028,0-4 years
Tasman District,2880,2028,0-4 years
Nelson City,2430,2028,0-4 years
Marlborough District,2400,2028,0-4 years
Kaikoura District,210,2028,0-4 years
Buller District,420,2028,0-4 years
Grey District,800,2028,0-4 years
Westland District,410,2028,0-4 years
Hurunui District,710,2028,0-4 years
Waimakariri District,3760,2028,0-4 years
Christchurch City,20850,2028,0-4 years
Selwyn District,5730,2028,0-4 years
Ashburton District,2200,2028,0-4 years
Timaru District,2390,2028,0-4 years
Mackenzie District,310,2028,0-4 years
Waimate District,420,2028,0-4 years
Chatham Islands Territory,50,2028,0-4 years
Waitaki District,1070,2028,0-4 years
Central Otago District,1350,2028,0-4 years
Queenstown-Lakes District,2810,2028,0-4 years
