Region,Population,Year,Age,65 and over,Generation
Horowhenua District,1830,2023,20-24 Years,False,Gen Z
Opotiki District,550,2023,20-24 Years,False,Gen Z
Whakatane District,1980,2023,20-24 Years,False,Gen Z
Rotorua District,4530,2023,20-24 Years,False,Gen Z
Tauranga City,8130,2023,20-24 Years,False,Gen Z
Western Bay of Plenty District,2700,2023,20-24 Years,False,Gen Z
Taupo District,1890,2023,20-24 Years,False,Gen Z
Waitomo District,530,2023,20-24 Years,False,Gen Z
South Waikato District,1430,2023,20-24 Years,False,Gen Z
Otorohanga District,590,2023,20-24 Years,False,Gen Z
Waipa District,3160,2023,20-24 Years,False,Gen Z
Hamilton City,15070,2023,20-24 Years,False,Gen Z
Matamata-Piako District,1930,2023,20-24 Years,False,Gen Z
Waikato District,4770,2023,20-24 Years,False,Gen Z
Hauraki District,870,2023,20-24 Years,False,Gen Z
Thames-Coromandel District,1090,2023,20-24 Years,False,Gen Z
Kawerau District,430,2023,20-24 Years,False,Gen Z
Franklin Local Board Area,4460,2023,20-24 Years,False,Gen Z
Kapiti Coast District,2360,2023,20-24 Years,False,Gen Z
Upper Hutt City,2690,2023,20-24 Years,False,Gen Z
Area Outside Territorial Authority,0,2023,20-24 Years,False,Gen Z
Invercargill City,3360,2023,20-24 Years,False,Gen Z
Gore District,630,2023,20-24 Years,False,Gen Z
Southland District,1560,2023,20-24 Years,False,Gen Z
Clutha District,940,2023,20-24 Years,False,Gen Z
Dunedin City,14040,2023,20-24 Years,False,Gen Z
Queenstown-Lakes District,2950,2023,20-24 Years,False,Gen Z
Central Otago District,960,2023,20-24 Years,False,Gen Z
Waitaki District,1130,2023,20-24 Years,False,Gen Z
Chatham Islands Territory,40,2023,20-24 Years,False,Gen Z
Waimate District,330,2023,20-24 Years,False,Gen Z
Mackenzie District,350,2023,20-24 Years,False,Gen Z
Timaru District,2220,2023,20-24 Years,False,Gen Z
Ashburton District,1930,2023,20-24 Years,False,Gen Z
Porirua City,3880,2023,20-24 Years,False,Gen Z
Selwyn District,4220,2023,20-24 Years,False,Gen Z
Waimakariri District,3230,2023,20-24 Years,False,Gen Z
Hurunui District,500,2023,20-24 Years,False,Gen Z
Westland District,390,2023,20-24 Years,False,Gen Z
Grey District,730,2023,20-24 Years,False,Gen Z
Buller District,310,2023,20-24 Years,False,Gen Z
Kaikoura District,180,2023,20-24 Years,False,Gen Z
Marlborough District,2240,2023,20-24 Years,False,Gen Z
Nelson City,2910,2023,20-24 Years,False,Gen Z
Tasman District,2830,2023,20-24 Years,False,Gen Z
South Wairarapa District,400,2023,20-24 Years,False,Gen Z
Carterton District,430,2023,20-24 Years,False,Gen Z
Masterton District,1460,2023,20-24 Years,False,Gen Z
Wellington City,23990,2023,20-24 Years,False,Gen Z
Lower Hutt City,6790,2023,20-24 Years,False,Gen Z
Christchurch City,29730,2023,20-24 Years,False,Gen Z
Papakura Local Board Area,4910,2023,20-24 Years,False,Gen Z
Otara-Papatoetoe Local Board Area,6710,2023,20-24 Years,False,Gen Z
Manurewa Local Board Area,7930,2023,20-24 Years,False,Gen Z
