Region,Population,Year,Age,65 and over,Generation
Waitakere Ranges Local Board Area,3520,2001,0-4 Years,False,Gen Z
Waikato District,4570,2001,0-4 Years,False,Gen Z
Thames-Coromandel District,1450,2001,0-4 Years,False,Gen Z
Franklin Local Board Area,4000,2001,0-4 Years,False,Gen Z
Papakura Local Board Area,3300,2001,0-4 Years,False,Gen Z
Manurewa Local Board Area,7190,2001,0-4 Years,False,Gen Z
Otara-Papatoetoe Local Board Area,7370,2001,0-4 Years,False,Gen Z
Mangere-Otahuhu Local Board Area,7070,2001,0-4 Years,False,Gen Z
Howick Local Board Area,6090,2001,0-4 Years,False,Gen Z
Maungakiekie-Tamaki Local Board Area,6060,2001,0-4 Years,False,Gen Z
Orakei Local Board Area,4320,2001,0-4 Years,False,Gen Z
Puketapapa Local Board Area,3450,2001,0-4 Years,False,Gen Z
Albert-Eden Local Board Area,6000,2001,0-4 Years,False,Gen Z
Whau Local Board Area,5160,2001,0-4 Years,False,Gen Z
Waitemata Local Board Area,2420,2001,0-4 Years,False,Gen Z
Waiheke Local Board Area,480,2001,0-4 Years,False,Gen Z
Hauraki District,1300,2001,0-4 Years,False,Gen Z
Wairoa District,790,2001,0-4 Years,False,Gen Z
Nelson City,2870,1996,0-4 Years,False,Millennial
South Wairarapa District,750,1996,0-4 Years,False,Millennial
Matamata-Piako District,2640,1996,0-4 Years,False,Millennial
Waikato District,4700,1996,0-4 Years,False,Millennial
Hauraki District,1650,1996,0-4 Years,False,Millennial
Thames-Coromandel District,1700,1996,0-4 Years,False,Millennial
Franklin Local Board Area,4220,1996,0-4 Years,False,Millennial
Papakura Local Board Area,3600,1996,0-4 Years,False,Millennial
Manurewa Local Board Area,6660,1996,0-4 Years,False,Millennial
Otara-Papatoetoe Local Board Area,7410,1996,0-4 Years,False,Millennial
Mangere-Otahuhu Local Board Area,7030,1996,0-4 Years,False,Millennial
Howick Local Board Area,4990,1996,0-4 Years,False,Millennial
Maungakiekie-Tamaki Local Board Area,5870,1996,0-4 Years,False,Millennial
Orakei Local Board Area,4310,1996,0-4 Years,False,Millennial
Puketapapa Local Board Area,3540,1996,0-4 Years,False,Millennial
Albert-Eden Local Board Area,6010,1996,0-4 Years,False,Millennial
Hamilton City,8930,1996,0-4 Years,False,Millennial
Whau Local Board Area,4960,1996,0-4 Years,False,Millennial
Waiheke Local Board Area,460,1996,0-4 Years,False,Millennial
Aotea/great Barrier Local Board Area,100,1996,0-4 Years,False,Millennial
Waitakere Ranges Local Board Area,3800,1996,0-4 Years,False,Millennial
